Model;Instance;element;Name;Start Waiting;Start;End;Waiting Time;Process Time;Fixed Cost;Variable Cost;Resources;GetStores;PutStores
Credit Application Credit Officer;instance1343;END;Credit application processed;26900.393916063378;26900.393916063378;26900.393916063378;0.0;0.0;0;0;;;
Credit Application Clerk;instance1345;activity;Check credit history;26900.069852670018;26900.069852670018;26910.09654295401;0.0;10.02669028399125;5;5.013345141995625;Clerk;;
Credit Application Credit Officer;instance1344;activity;Assess application;26889.803781618997;26891.612586224644;26912.129086879664;1.8088046056473104;20.51650065502002;5;20.51650065502002;Credit Officer;;
Credit Application Clerk;instance1345;activity;Check income sources;26900.069852670018;26900.069852670018;26913.264922577582;0.0;13.195069907564829;5;6.597534953782414;Clerk;;
Credit Application Clerk;instance1345;intermediate;Credit Application checked;26913.264922577582;26913.264922577582;26913.264922577582;0.0;0.0;0;0;;;Application store
Credit Application Credit Officer;instance1345;START;Credit application received;26913.264922577582;26913.264922577582;26913.264922577582;0.0;0.0;0;0;;Application store;
Credit Application Clerk;instance1346;START;Credit application received;26920.645724368514;26920.645724368514;26920.645724368514;0.0;0.0;0;0;;;
Credit Application Clerk;instance1345;activity;Send e-mail to customer;26913.264922577582;26913.264922577582;26921.39534215985;0.0;8.130419582265462;5;4.065209791132731;Clerk;;
Credit Application Clerk;instance1345;END;Customer notified;26921.39534215985;26921.39534215985;26921.39534215985;0.0;0.0;0;0;;;
Credit Application Credit Officer;instance1344;activity;Make credit offer;26912.129086879664;26912.129086879664;26921.833934861443;0.0;9.704847981780148;5;9.704847981780148;Credit Officer;;
Credit Application Credit Officer;instance1344;END;Credit application processed;26921.833934861443;26921.833934861443;26921.833934861443;0.0;0.0;0;0;;;
Credit Application Clerk;instance1346;activity;Check income sources;26920.645724368514;26920.645724368514;26932.932768836057;0.0;12.287044467544154;5;6.143522233772077;Clerk;;
Credit Application Clerk;instance1346;activity;Check credit history;26920.645724368514;26920.645724368514;26933.154492546524;0.0;12.508768178010746;5;6.254384089005373;Clerk;;
Credit Application Clerk;instance1346;intermediate;Credit Application checked;26933.154492546524;26933.154492546524;26933.154492546524;0.0;0.0;0;0;;;Application store
Credit Application Credit Officer;instance1346;START;Credit application received;26933.154492546524;26933.154492546524;26933.154492546524;0.0;0.0;0;0;;Application store;
